tier,url,status,finalUrl,canonical,noindex,ok,reason,sourceFiles,issue,recommendation
P2,https://www.ewastekochi.com/locations/edappally/,200,https://www.ewastekochi.com/locations/edappally/,https://www.ewastekochi.com/locations/edappally/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P2,https://www.ewastekochi.com/locations/ernakulam-south/,200,https://www.ewastekochi.com/locations/ernakulam-south/,https://www.ewastekochi.com/locations/ernakulam-south/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P2,https://www.ewastekochi.com/locations/kakkanad/,200,https://www.ewastekochi.com/locations/kakkanad/,https://www.ewastekochi.com/locations/kakkanad/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P2,https://www.ewastekochi.com/locations/kalamassery/,200,https://www.ewastekochi.com/locations/kalamassery/,https://www.ewastekochi.com/locations/kalamassery/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P2,https://www.ewastekochi.com/locations/kannur/,200,https://www.ewastekochi.com/locations/kannur/,https://www.ewastekochi.com/locations/kannur/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P2,https://www.ewastekochi.com/locations/kollam/,200,https://www.ewastekochi.com/locations/kollam/,https://www.ewastekochi.com/locations/kollam/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P2,https://www.ewastekochi.com/locations/kottayam/,200,https://www.ewastekochi.com/locations/kottayam/,https://www.ewastekochi.com/locations/kottayam/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P2,https://www.ewastekochi.com/locations/kozhikode/,200,https://www.ewastekochi.com/locations/kozhikode/,https://www.ewastekochi.com/locations/kozhikode/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P2,https://www.ewastekochi.com/locations/malappuram/,200,https://www.ewastekochi.com/locations/malappuram/,https://www.ewastekochi.com/locations/malappuram/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P2,https://www.ewastekochi.com/locations/palakkad/,200,https://www.ewastekochi.com/locations/palakkad/,https://www.ewastekochi.com/locations/palakkad/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P2,https://www.ewastekochi.com/locations/thiruvananthapuram/,200,https://www.ewastekochi.com/locations/thiruvananthapuram/,https://www.ewastekochi.com/locations/thiruvananthapuram/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P2,https://www.ewastekochi.com/locations/thrissur/,200,https://www.ewastekochi.com/locations/thrissur/,https://www.ewastekochi.com/locations/thrissur/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P3,https://www.ewastekochi.com/blog/electronic-waste-disposal-kerala/,200,https://www.ewastekochi.com/blog/electronic-waste-disposal-kerala/,https://www.ewastekochi.com/blog/electronic-waste-disposal-kerala/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P3,https://www.ewastekochi.com/blog/free-e-waste-pickup-kochi/,200,https://www.ewastekochi.com/blog/free-e-waste-pickup-kochi/,https://www.ewastekochi.com/blog/free-e-waste-pickup-kochi/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P3,https://www.ewastekochi.com/blog/how-to-choose-itad-provider/,200,https://www.ewastekochi.com/blog/how-to-choose-itad-provider/,https://www.ewastekochi.com/blog/how-to-choose-itad-provider/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P3,https://www.ewastekochi.com/blog/laptop-scrap-price-kochi/,200,https://www.ewastekochi.com/blog/laptop-scrap-price-kochi/,https://www.ewastekochi.com/blog/laptop-scrap-price-kochi/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P3,https://www.ewastekochi.com/tools/scrap-value-calculator/,200,https://www.ewastekochi.com/tools/scrap-value-calculator/,https://www.ewastekochi.com/tools/scrap-value-calculator/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
freshness,https://www.ewastekochi.com/wiki/sales/choose-secure-itad-vendor/,200,https://www.ewastekochi.com/wiki/sales/choose-secure-itad-vendor/,https://www.ewastekochi.com/wiki/sales/choose-secure-itad-vendor/,false,true,page source changed,src/pages/wiki/sales/choose-secure-itad-vendor/index.astro,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
freshness,https://www.ewastekochi.com/wiki/sales/e-waste-scrap-buyers/,200,https://www.ewastekochi.com/wiki/sales/e-waste-scrap-buyers/,https://www.ewastekochi.com/wiki/sales/e-waste-scrap-buyers/,false,true,page source changed,src/pages/wiki/sales/e-waste-scrap-buyers/index.astro,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
freshness,https://www.ewastekochi.com/wiki/sales/online-selling-platforms/,200,https://www.ewastekochi.com/wiki/sales/online-selling-platforms/,https://www.ewastekochi.com/wiki/sales/online-selling-platforms/,false,true,page source changed,src/pages/wiki/sales/online-selling-platforms/index.astro,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
freshness,https://www.ewastekochi.com/wiki/technical/choose-recycler/,200,https://www.ewastekochi.com/wiki/technical/choose-recycler/,https://www.ewastekochi.com/wiki/technical/choose-recycler/,false,true,page source changed,src/pages/wiki/technical/choose-recycler/index.astro,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
