batch,cluster,clusterSlug,priority,topicTitle,targetPath,slug,source,currentWordCount,currentFaqCount,recommendedAction
Backlog,Data Destruction & ITAD,data-destruction-itad,Very high B2B,How to Prepare Devices for Data Destruction,/blog/how-to-prepare-devices-for-data-destruction/,how-to-prepare-devices-for-data-destruction,quarantine-draft,255,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Data Destruction & ITAD,data-destruction-itad,Very high B2B,Data Destruction FAQ for Kochi Businesses,/blog/data-destruction-faq-for-kochi-businesses/,data-destruction-faq-for-kochi-businesses,quarantine-draft,254,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Data Destruction & ITAD,data-destruction-itad,Very high B2B,Hard Drive Disposal Guide,/blog/hard-drive-disposal-guide/,hard-drive-disposal-guide,quarantine-draft,254,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Data Destruction & ITAD,data-destruction-itad,Very high B2B,Server Recycling Data Checklist,/blog/server-recycling-data-checklist/,server-recycling-data-checklist,quarantine-draft,253,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Data Destruction & ITAD,data-destruction-itad,Very high B2B,How to List Data-Bearing Assets,/blog/how-to-list-data-bearing-assets/,how-to-list-data-bearing-assets,quarantine-draft,252,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Data Destruction & ITAD,data-destruction-itad,Very high B2B,ITAD Services in Kochi,/blog/itad-services-in-kochi/,itad-services-in-kochi,quarantine-draft,248,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Data Destruction & ITAD,data-destruction-itad,Very high B2B,Secure IT Scrap Collection Guide,/blog/secure-it-scrap-collection-guide/,secure-it-scrap-collection-guide,quarantine-draft,245,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Data Destruction & ITAD,data-destruction-itad,Very high B2B,Storage Media Disposal Mistakes,/blog/storage-media-disposal-mistakes/,storage-media-disposal-mistakes,quarantine-draft,242,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Data Destruction & ITAD,data-destruction-itad,Very high B2B,What Documentation May Be Available?,/blog/what-documentation-may-be-available/,what-documentation-may-be-available,quarantine-draft,241,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Battery Recycling,battery-recycling,Very high,Why Batteries Should Not Be Mixed with Household Waste,/blog/why-batteries-should-not-be-mixed-with-household-waste/,why-batteries-should-not-be-mixed-with-household-waste,quarantine-draft,241,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Business / Corporate E-Waste,business-corporate-ewaste,Very high commercial,Business Recycling Documentation Basics,/blog/business-recycling-documentation-basics/,business-recycling-documentation-basics,quarantine-draft,240,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Sell Old Electronics,sell-old-electronics,Very high,How to Compare Resale and Recycling Options,/blog/how-to-compare-resale-and-recycling-options/,how-to-compare-resale-and-recycling-options,quarantine-draft,240,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Sell Old Electronics,sell-old-electronics,Very high,How to Sell Old Mobile Phones Safely,/blog/how-to-sell-old-mobile-phones-safely/,how-to-sell-old-mobile-phones-safely,quarantine-draft,240,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Battery Recycling,battery-recycling,Very high,How to Separate Batteries from Electronics,/blog/how-to-separate-batteries-from-electronics/,how-to-separate-batteries-from-electronics,quarantine-draft,240,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Battery Recycling,battery-recycling,Very high,What to Tell the Team Before Battery Pickup,/blog/what-to-tell-the-team-before-battery-pickup/,what-to-tell-the-team-before-battery-pickup,quarantine-draft,240,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Business / Corporate E-Waste,business-corporate-ewaste,Very high commercial,Business Pickup Scheduling,/blog/business-pickup-scheduling/,business-pickup-scheduling,quarantine-draft,239,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Data Destruction & ITAD,data-destruction-itad,Very high B2B,Chain of Custody in IT Asset Disposal,/blog/chain-of-custody-in-it-asset-disposal/,chain-of-custody-in-it-asset-disposal,quarantine-draft,239,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Business / Corporate E-Waste,business-corporate-ewaste,Very high commercial,IT Team Recycling Checklist,/blog/it-team-recycling-checklist/,it-team-recycling-checklist,quarantine-draft,239,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Business / Corporate E-Waste,business-corporate-ewaste,Very high commercial,What Offices Should Separate Before Pickup,/blog/what-offices-should-separate-before-pickup/,what-offices-should-separate-before-pickup,quarantine-draft,238,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Data Destruction & ITAD,data-destruction-itad,Very high B2B,Hard Drive Shredding vs Degaussing,/blog/hard-drive-shredding-vs-degaussing/,hard-drive-shredding-vs-degaussing,quarantine-draft,237,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Battery Recycling,battery-recycling,Very high,How to Identify Damaged Batteries,/blog/how-to-identify-damaged-batteries/,how-to-identify-damaged-batteries,quarantine-draft,237,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Sell Old Electronics,sell-old-electronics,Very high,When Recycling Is Better Than Resale,/blog/when-recycling-is-better-than-resale/,when-recycling-is-better-than-resale,quarantine-draft,237,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Battery Recycling,battery-recycling,Very high,Why Damaged Batteries Need Special Care,/blog/why-damaged-batteries-need-special-care/,why-damaged-batteries-need-special-care,quarantine-draft,237,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Battery Recycling,battery-recycling,Very high,Battery Waste vs E-Waste,/blog/battery-waste-vs-e-waste/,battery-waste-vs-e-waste,quarantine-draft,236,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Data Destruction & ITAD,data-destruction-itad,Very high B2B,Data Destruction Documentation Explained,/blog/data-destruction-documentation-explained/,data-destruction-documentation-explained,quarantine-draft,236,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,E-Waste Pickup Near Me,e-waste-pickup-near-me,Very high,"Pickup Checklist for Old Laptops, Batteries and Cables",/blog/pickup-checklist-for-old-laptops-batteries-and-cables/,pickup-checklist-for-old-laptops-batteries-and-cables,quarantine-draft,236,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Battery Recycling,battery-recycling,Very high,What Photos to Send for Battery Pickup,/blog/what-photos-to-send-for-battery-pickup/,what-photos-to-send-for-battery-pickup,quarantine-draft,236,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Battery Recycling,battery-recycling,Very high,Battery Pickup for Offices and UPS Rooms,/blog/battery-pickup-for-offices-and-ups-rooms/,battery-pickup-for-offices-and-ups-rooms,quarantine-draft,235,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Sell Old Electronics,sell-old-electronics,Very high,Quote Checklist for Old Electronics,/blog/quote-checklist-for-old-electronics/,quote-checklist-for-old-electronics,quarantine-draft,235,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Battery Recycling,battery-recycling,Very high,Battery Recycling FAQ for Kochi Residents,/blog/battery-recycling-faq-for-kochi-residents/,battery-recycling-faq-for-kochi-residents,quarantine-draft,234,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Battery Recycling,battery-recycling,Very high,Battery Recycling for Apartments and Flats,/blog/battery-recycling-for-apartments-and-flats/,battery-recycling-for-apartments-and-flats,quarantine-draft,233,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Business / Corporate E-Waste,business-corporate-ewaste,Very high commercial,IT Scrap Handling for Small Offices,/blog/it-scrap-handling-for-small-offices/,it-scrap-handling-for-small-offices,quarantine-draft,233,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Sell Old Electronics,sell-old-electronics,Very high,What Photos Should You Send Before Selling Electronics?,/blog/what-photos-should-you-send-before-selling-electronics/,what-photos-should-you-send-before-selling-electronics,quarantine-draft,232,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Sell Old Electronics,sell-old-electronics,Very high,What Makes an Electronic Item Sellable?,/blog/what-makes-an-electronic-item-sellable/,what-makes-an-electronic-item-sellable,quarantine-draft,231,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Sell Old Electronics,sell-old-electronics,Very high,Electronics Resale Checklist for Kochi Users,/blog/electronics-resale-checklist-for-kochi-users/,electronics-resale-checklist-for-kochi-users,quarantine-draft,230,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,E-Waste Pickup Near Me,e-waste-pickup-near-me,Very high,How to Share Photos for Faster Pickup Confirmation,/blog/how-to-share-photos-for-faster-pickup-confirmation/,how-to-share-photos-for-faster-pickup-confirmation,quarantine-draft,230,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Battery Recycling,battery-recycling,Very high,Laptop Battery Recycling,/blog/laptop-battery-recycling/,laptop-battery-recycling,quarantine-draft,230,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Battery Recycling,battery-recycling,Very high,Lithium Battery Fire Risk,/blog/lithium-battery-fire-risk/,lithium-battery-fire-risk,quarantine-draft,230,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Battery Recycling,battery-recycling,Very high,Mobile Battery Disposal,/blog/mobile-battery-disposal/,mobile-battery-disposal,quarantine-draft,230,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Business / Corporate E-Waste,business-corporate-ewaste,Very high commercial,Office Monitor Recycling Guide,/blog/office-monitor-recycling-guide/,office-monitor-recycling-guide,quarantine-draft,230,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Sell Old Electronics,sell-old-electronics,Very high,What to Remove Before Selling Old Devices,/blog/what-to-remove-before-selling-old-devices/,what-to-remove-before-selling-old-devices,quarantine-draft,230,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Business / Corporate E-Waste,business-corporate-ewaste,Very high commercial,Corporate E-Waste Checklist,/blog/corporate-e-waste-checklist/,corporate-e-waste-checklist,quarantine-draft,229,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Business / Corporate E-Waste,business-corporate-ewaste,Very high commercial,Documentation for Business E-Waste Pickup,/blog/documentation-for-business-e-waste-pickup/,documentation-for-business-e-waste-pickup,quarantine-draft,229,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Business / Corporate E-Waste,business-corporate-ewaste,Very high commercial,Office Laptop Disposal Guide,/blog/office-laptop-disposal-guide/,office-laptop-disposal-guide,quarantine-draft,229,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Battery Recycling,battery-recycling,Very high,Old Battery Collection Guide for Kochi,/blog/old-battery-collection-guide-for-kochi/,old-battery-collection-guide-for-kochi,quarantine-draft,229,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Battery Recycling,battery-recycling,Very high,Battery Disposal Mistakes to Avoid,/blog/battery-disposal-mistakes-to-avoid/,battery-disposal-mistakes-to-avoid,quarantine-draft,228,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Sell Old Electronics,sell-old-electronics,Very high,Bulk Office Electronics Scrap,/blog/bulk-office-electronics-scrap/,bulk-office-electronics-scrap,quarantine-draft,228,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Battery Recycling,battery-recycling,Very high,Safe Storage Tips for Old UPS Batteries,/blog/safe-storage-tips-for-old-ups-batteries/,safe-storage-tips-for-old-ups-batteries,quarantine-draft,228,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Sell Old Electronics,sell-old-electronics,Very high,Sell Old IT Assets from Offices,/blog/sell-old-it-assets-from-offices/,sell-old-it-assets-from-offices,quarantine-draft,228,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,E-Waste Pickup Near Me,e-waste-pickup-near-me,Very high,How to Prepare Your E-Waste for Pickup,/blog/how-to-prepare-your-e-waste-for-pickup/,how-to-prepare-your-e-waste-for-pickup,quarantine-draft,227,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Data Destruction & ITAD,data-destruction-itad,Very high B2B,Laptop Data Safety Before Recycling,/blog/laptop-data-safety-before-recycling/,laptop-data-safety-before-recycling,quarantine-draft,227,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Sell Old Electronics,sell-old-electronics,Very high,Why Final Price Depends on Inspection,/blog/why-final-price-depends-on-inspection/,why-final-price-depends-on-inspection,quarantine-draft,227,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Business / Corporate E-Waste,business-corporate-ewaste,Very high commercial,Data Security Questions Before Corporate Pickup,/blog/data-security-questions-before-corporate-pickup/,data-security-questions-before-corporate-pickup,quarantine-draft,226,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
Backlog,Battery Recycling,battery-recycling,Very high,Inverter Battery Safety Checklist,/blog/inverter-battery-safety-checklist/,inverter-battery-safety-checklist,quarantine-draft,226,4,Rewrite substantially to 1200+ original words; do not publish the generated draft as-is.
